Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
8601240,"Gao, Zhiqian",CHN,F,1973,,2252,,,wi
1135988,"Kantane, Anna",POL,F,1995,WIM,2252,2170,2083,
7101198,"Sihite, Chelsie Monica Ignesias",INA,F,1995,WIM,2252,2233,2224,wi
2109220,"Terao, Juliana Sayumi",BRA,F,1991,FM,2252,2212,2225,
8601704,"Xiao, Yue",CHN,F,1987,,2252,,,wi
4621905,"Delemarre, Isabel",GER,F,1978,WIM,2251,,,wi
704814,"Havanecz, Bianka",HUN,F,1994,WIM,2251,2139,,
13600974,"Imnadze, Nato",GEO,F,1996,WIM,2251,2144,2114,wi
3507831,"Perez Rodriguez, Jennifer",PAR,F,1987,WIM,2251,2150,2170,
14100703,"Andreieva, Olga A",UKR,F,1937,WIM,2250,,,wi
6364063,"Caglar, Sila",TUR,F,2004,WIM,2250,,1832,
14507943,"Franciskovic, Borka",CRO,F,1988,WIM,2250,2205,2258,
401927,"Needham, Teresa",ENG,F,1965,WIM,2250,,,wi
12500666,"Paridar, Shadi",IRI,F,1986,WGM,2250,,,wi
14501740,"Puljek-Salai, Zorica",CRO,F,1965,WIM,2250,,2142,wi
2003287,"Savereide, Diane",USA,F,1954,WIM,2250,,,wi
404292,"Sheldon, Ruth",ENG,F,1980,WIM,2250,,,wi
1008498,"De Jong-Muhren, Bianca",NED,F,1986,WGM,2249,,,wi
4110145,"Ovchinnikova, Julia",RUS,F,1965,WIM,2249,,,wi
4402472,"Rivera, Ingris",COL,F,1988,WIM,2249,2152,2116,
100536,"Amura, Claudia",ARG,F,1970,WGM,2248,2270,2239,
721530,"Schneider, Veronika",HUN,F,1987,WGM,2248,,2237,wi
14108623,"Kuharenko, Svetlana",UKR,F,1984,WIM,2247,,,wi
2908689,"Nikolova, Adriana",BUL,F,1988,WGM,2247,2276,2184,wi
4146794,"Novikova, Anna",RUS,F,1985,WIM,2247,2180,2114,
4189949,"Schepetkova, Margarita",RUS,F,1988,WIM,2247,2248,2087,
13706799,"Serikbay, Assel",KAZ,F,2002,WIM,2247,2075,2071,
13900285,"Wagener, Anna",LUX,F,1976,WGM,2247,2313,2240,
4106377,"Chekhova-Kostina, Tatiana M",RUS,F,1955,WIM,2246,2165,2075,wi
701068,"Veroci, Zsuzsa",HUN,F,1949,WGM,2246,,,wi
4158237,"Alliulova, Dina",RUS,F,1986,,2245,,,wi
4141911,"Druzhinina, Olga",RUS,F,1984,,2245,,2163,wi
14124327,"Efimenko, Maria",UKR,F,1996,WIM,2245,2295,2169,
14201437,"Gevorgyan, Irina",UZB,F,1990,WGM,2245,2126,2246,
