Score,Students (11th Grade),Students (12th Grade),Students (Male),Students (Female),Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),All Students (2016)
5,3859,3799,8880,2252,5396,112,563,4310,16,7,528,11132
4,3898,4457,8537,2500,5676,190,787,3648,12,7,531,11037
3,4470,5404,9589,2922,6470,371,1248,3610,22,16,551,12511
2,2254,3238,5160,1641,3468,299,878,1759,6,14,287,6801
1,4289,6528,9571,3327,5688,1055,2780,2586,32,27,518,12898
All,18770,23426,41737,12642,26698,2027,6256,15913,88,71,2415,54379
Average,3.04,2.82,3.05,2.9,3.06,2.02,2.28,3.34,2.7,2.34,3.11,3.01
5,3735,14744,12731,7104,11503,286,1532,5469,26,19,777,19835
4,4689,22905,17212,11846,16827,891,3534,6271,51,38,1115,29058
3,2955,16498,11458,8933,11561,882,3268,3614,39,31,781,20391
2,2772,18089,11685,10136,11396,1211,4681,3322,61,34,835,21821
1,2612,29739,15378,18396,11789,3630,12878,3674,91,69,1093,33774
All,16763,101975,68464,56415,63076,6900,25893,22350,268,191,4601,124879
Average,3.25,2.75,3,2.63,3.08,1.98,2.08,3.29,2.48,2.5,2.92,2.83
5,2645,7343,7501,3390,6022,118,628,3541,7,4,437,10891
4,3898,14127,12051,7245,11771,397,1664,4453,27,27,738,19296
3,3141,12072,9472,6691,9896,558,1994,2840,30,25,603,16163
2,1817,7728,5449,4689,5816,493,1720,1582,23,13,377,10138
1,1843,11321,6848,7233,5827,1433,4241,1771,33,19,468,14081
All,13344,52591,41321,29248,39332,2999,10247,14187,120,88,2623,70569
Average,3.28,2.97,3.19,2.82,3.16,2.09,2.29,3.45,2.6,2.82,3.11,3.04
5,48747,6352,24563,32488,35886,1242,4911,11441,66,61,2683,57051
4,81534,9215,37778,56609,60784,3119,11525,13110,176,129,4367,94387
3,127496,12595,54104,92051,87962,7800,25570,15701,404,262,6616,146155
2,151005,14305,59531,113998,82622,17020,48304,14252,791,418,7621,173529
1,57275,7086,25651,42584,18019,14036,27980,3307,495,202,2539,68235
All,466057,49553,201627,337730,285273,43217,118290,57811,1932,1072,23826,539357
Average,2.81,2.87,2.88,2.77,3.05,2.09,2.3,3.26,2.24,2.47,2.88,2.81
5,3428,25321,9723,19402,18906,516,2371,5476,33,22,1472,29125
4,8032,61378,25086,45300,46948,2063,7740,9692,120,61,3081,70386
3,14192,100653,43479,73374,73232,5882,18682,12405,276,169,4981,116853
2,18035,112113,49228,83999,63309,13838,36649,11391,602,301,5530,133227
1,4948,41789,20079,28035,11719,11697,19090,2638,298,126,1613,48114
All,48635,341254,147595,250110,214114,33996,84532,41602,1329,679,16677,397705
Average,2.73,2.75,2.7,2.78,2.99,2,2.26,3.1,2.24,2.34,2.84,2.75
5,3608,5918,6420,4707,7500,110,815,2007,17,13,535,11127
4,11997,17996,17833,16275,22812,843,3758,4672,67,43,1517,34108
3,8011,11210,10334,11408,13640,844,3313,2653,52,34,919,21742
2,14422,18994,15833,22236,21558,2282,7717,4180,135,85,1658,38069
1,14799,22186,15532,26798,14974,6476,14412,3760,203,102,1626,42330
All,52837,76304,65952,81424,80484,10555,30015,17272,474,277,6255,147376
Average,2.53,2.56,2.75,2.38,2.83,1.66,1.96,2.83,2.07,2.21,2.63,2.55
