Date,Location/Operator,Aircraft Type/Registration,Fatalities
25 Apr 1925,"Alicante, SpainGrands Express Aeriens",Breguet 14F-AFBB,3/3(0)
25 Jun 1925,"Landrécies, FranceKLM Royal Dutch Airlines",Fokker (KLM)  F.IIIH-NABM,4/4(0)
26 Jun 1925,"Alicante, SpainGrands Express Aeriens",Lioré-et-Olivier LeO H-13F-FREM,2/2(0)
20 Jul 1925,"Rosas, SpainLignes Aeriennes Latecoere",Breguet 14F-AFBI,1/1(0)
24 Jul 1925,"Budapest, HungaryCIDNA",Potez IX?,1/1(0)
03 Sep 1925,"Caldwell, OhioMilitary - U.S. Navy",Dirigible ZR-1 Shenandoah (airship)ZR-1,14/43(0)
07 Sep 1925,"Toul, FranceCIDNA",Spad 33?,?/?(?)
01 Oct 1925,"Mt. Nittany, OhioUS Aerial Mail Service",De Havilland DH-4385,1/1(0)
14 Nov 1925,"Nouadhibou, MauritaniaLignes Aeriennes Latecoere",Breguet 14F-AEGZ,1/1(0)
14 Nov 1925,"Off Boulogne-sur-Mer, FranceAir Union",Farman F-60 GoliathF-AMFY,2/2(0)
12 Feb 1926,"Montpelier, OhioUS Aerial Mail Service",Curtiss Carrier Pigeon602,1/1(0)
08 Mar 1926,"Staaken, GermanyDeutche Lufthansa",Junkers F-13D-290,D-290,1/1(0)
31 May 1926,English ChannelAir Union,Breguet 14F-ADAI,1/1(0)
03 Jul 1926,"Rossaugpt, CzechoslovakiaCompagnie Internationale de Navigation Aérienne",Caudron C-61F-AFBT,6/6(0)
09 Jul 1926,"Wolvertem, BelgiumKLM Royal Dutch Airlines",Fokker F7H-NACC,2/2(0)
24 Jul 1926,"Juist, GermanyDeutsche Lufthansa",Junkers F-13D-272,5/5(0)
18 Aug 1926,"Hurst, Kent, EnglandAir Union",Bleriot 155F-AIEB,3/15(0)
26 Sep 1926,"New York, New York?",Sikorsky S-25?,2/5(0)
02 Oct 1926,"Leigh, Kent, Unied KingdomAir Union",Bleriot 155F- AICQ,7/7(0)
08 Oct 1926,"Bueren, GermanyDeutsche Lufthansa",Fokker FG IIID-468,4/4(0)
21 Oct 1926,English ChannelImperial Airways,Handley Page W-10G-EBMS,0/12(0)
11 Nov 1926,"Cape Bojador, MoroccoGrands Express Aeriens",Breguet 14F-AFAX,3/3(0)
16 Dec 1926,"Medford, OregonPacific Air Transport",Ryan M-12,1/1(0)
12 Jan 1927,"Estaires, FranceFokker",Fokker F-VIIG-EBPL,0/0(0)
20 Mar 1927,"Rabat, MoroccoGrands Express Aeriens",Breguet 14F-ALRA,1/1(0)
24 Mar 1927,"Tambo, Qld, AustraliaQantas",de Havilland DH-9CG-AUED,3/3(0)
15 Apr 1927,"King Hill, IdahoVarney Air Lines",Swallow,Swallow?,1/1(0)
22 Apr 1927,"Floh, GermanyDeutsche Lufthansa",Fokker FG IIID-729,2/2(0)
22 Apr 1927,"Goshen, IndianaUS Aerial Mail Service",Douglas M-4626,1/1(0)
02 May 1927,"Algiers, AlgeriaAir Union",SPCA Meteore 63F-AIFN,1/3(0)
27 Jul 1927,"Amoneburg, GermanyDeutsche Lufthansa",Junkers F-13D-206,5/5(0)
22 Aug 1927,"Sevenoaks, EnglandKLM Royal Dutch Airlines",Fokker F-VIIIH-NADU,H-NADU,1/11(0)
03 Sep 1927,"Willington, ConnecticutColonial Air Transport",Fokker UniversalNC52  	,NC52,1/1(0)
17 Sep 1927,"Hadley, New JerseyReynolds Airways",Fokker F-VIINC776,7/12(0)
17 Sep 1927,Atlantic OceanPrivate,Fokker F7NX703,3/3(0)
23 Sep 1927,"Schleiz, GermanyDeutsche Lufthansa",Dornier MerkurD-585,6/6(0)
06 Oct 1927,"Thies, MauritaniaLignes Aeriennes Latecoere",Breguet 14F-AGBN,2/2(0)
30 Oct 1927,"New Brunswick, New JerseyColonial Air Transport",Fairchild FC-2?,4/4(0)
08 Nov 1927,"Strasburg, FranceCIDNA",Farman F-121 JabiruF-AIBR,1/1(0)
16 Nov 1927,Over the Gulf of FinlandAero O-Y,Junkers F-13K-SALD,6/6(0)
29 Nov 1927,"Corunna, IndianaNational Air Transport",Douglas M-4NC62  	,NC1062,1/1(0)
28 Dec 1927,"Almeria, SpainAeropostale",Breguet 14F-AFGS,1/1(0)
31 Dec 1927,"Near Marseille,FranceLatecoere Airlines",Latécoère 23 (flying boat)F-AIHP,5/5(0)
08 Jan 1928,"Near Canajoharie, New YorkColonial Western Airlines",Fairchild FC-2NC3780,3/3(0)
16 Jan 1928,"Solis, UruguayAeropostale",Latecoere 25F-AIKG,2/2(0)
22 Jan 1928,"L'Hospitalet, AriègeAeropostale",Breguet 14, F-AHEQ,1/1(0)
22 Jan 1928,"Tarragona, SpainAeropostale",Breguet 14F-AHEQ,2/2(0)
27 Jan 1928,"Almeria, SpainAeropostale",Breguet 14F-AFHN,1/1(0)
26 Feb 1928,"Marquette, NebraskaBoeing Air Transport",Boeing 40NC280,1/2(0)
11 Mar 1928,"Off Cape Griz Nez, FranceAir Union",Farman F-60 GoliathF-AEFC,2/2(0)
17 Apr 1928,"Federal, WyomingBoeing Air Transport",Boeing 40NC282,NC282,1/2(0)
19 Apr 1928,"Minuesa, SpainIberia Airlines",Rohrbach RolandM-CCCC,9/9(0)
07 May 1928,"Florianopolis, Brazil","Florianopolis, Brazil","Florianopolis, BrazilAeropostale",Latecoere 26F-AIMQ,1/5(0)
12 May 1928,"Dearborn, MinnesotaFord Air Freight Inc.",Ford 4NC1492,2/2(0)
26 May 1928,"Radevormwald, GermanyDeutsche Lufthansa",Junkers F-13D-583,3/5(0)
14 Jun 1928,"Frankfurt, GermanyDeutsche Lufthansa",AEGKD-74,5/5(0)
22 Jun 1928,"Lebo, KansasNational Air Transport",Douglas M-4NC1059,1/1(0)
10 Jul 1928,Over the Gulf of FinlandAero O-Y,Junkers F-13K-SALB,6/6(0)
13 Jul 1928,"Purley, EnglandImperial Airways",Vickers 74 VulcanG-EBLB,4/6(0)
24 Jul 1928,"Waalhaven, NetherlandsKLM Royal Dutch Airlines",Fokker (KLM) F.IIIH-NABR,1/6(0)
25 Aug 1928,"Near Port Townsend, BC, CanadaBritish Columbia Airways",Ford 4-AT-B Tri MotorG-CATX,7/7(0)
02 Sep 1928,"Toul, FranceCIDNA",Bleriot Spad 33F-AIEP,5/5(0)
04 Sep 1928,"Adelaide Hills, AustraliaQantas",de Havilland DH.50JG-AUHI,1/2(0)
04 Sep 1928,"Pocatello, IdahoNational Parks Airways",Fokker Super UniversalNC7242,7/7(0)
06 Sep 1928,"Heroldbach, GermanyDeutsche Lufthansa",Fokker FG IIID-180,3/3(0)
04 Oct 1928,"Gerona, SpainAeropostale",Breguet 14F-AEEJ,F-AEEJ,3/3(0)
18 Oct 1928,"Polk, PennsylvaniaNational Air Transport",Douglas M-4NC1064,1/1(0)
31 Oct 1928,"Valence, FranceAir Union",Bleriot Spad 56F-AIMN,1/2(0)
15 Nov 1928,Off GibraltarAeropostale,Latecoere 32F-AISN,1/3(0)
24 Nov 1928,"Edgerton, OhioUniversal Airlines",Hamilton H-47NC7521,3/3(0)
25 Nov 1928,"Edgerton, OhioContinental Air Lines",Travel Air 4000NC5436,1/1(0)
25 Nov 1928,"Bristolville, OhioNational Air Transport",Douglas M-4NC792,1/1(0)
01 Dec 1928,"Spur, TexasSunbeam Air Transport Co.",Ford 4-AT-B Tri MotorNC7862,5/5(0)
03 Dec 1928,"Near Rio de Janeiro,BrazilSyndicato Condor",Dornier WalP-BACA,14/14(0)
10 Dec 1928,"Spokan, WashingtonSpokane Airways",Ford Tri-motor 4NC7687,5/5(0)
11 Dec 1928,"Letzlingen, GermanyDeutsche Lufthansa",Junkers G-31D-1473,3/4(0)
20 Dec 1928,"Huron, OhioNational Air Transport",Douglas M-4NC790,1/1(0)
23 Dec 1928,"Chattanooga, TennesseeInterstate Airlines",Fairchild FC-2?,4/4(0)
31 Dec 1928,"Reims, FranceCIDNA",Blériot Spad 66F-AEHX,2/3(0)
05 Jan 1929,"Stafford Springs, ConnecticutColonial Air Transport",Fairchild FC-2NC5650,1/1(0)
18 Jan 1929,"Cove, OregonVarney Air Lines",Stearman C-38NC1682,1/1(0)
25 Jan 1929,"Near Corfu, GreeceAeroespresso",CMASA WalI-AZDA,2/9(0)
31 Jan 1929,Off MoroccoAeropostale,Latecoere 26F-AIMU,F-AIMU,2/2(0)
31 Jan 1929,"Morgantown, West VirginiaSkyline Transportation Company",Travel Air 4000NC6480,1/1(0)
17 Mar 1929,"Newark, New JerseyColonial Western Airlines",Ford 5-AT-B Tri MotorNC7683,14/15(0)
30 Mar 1929,"Near Beaumont, CaliforniaNew Standard Airlines",Fokker F-VIIANC7888,4/4(0)
21 Apr 1929,"San Diego, CaliforniaMaddux Airlines / Military - U.S.Army Air Force",Ford 5-AT-B Tri-Motor / B-PW-9DNC9636 / 28-037,6/6(0)
09 May 1929,"Tampico, MexicoMexicana",Ford Tri-motor 4M-SCAL,5/5(0)
18 May 1929,"Tököl,  Pest HungaryMALERT",Fokker F-IIIH-MABC,2/2(0)
22 May 1929,AlgiersAeropostale,Cams 53F-AISX,4/6(0)
13 Jun 1929,"Santiago de Cuba, CubaPan American Airways",Fokker F-XNC9700,2/5(0)
14 Jun 1929,"Barcelona, SpainAeropostale",Breguet 14F-AFEJ,1/2(0)
17 Jun 1929,"Off Dungeness, EnglandImperial Airways",Handley Page W-10G-EBMT,7/13(0)
24 Jun 1929,"St. Paul, MinnesotaNorthwest Orient Airlines",Ford 5-AT-B Tri-MotorNC7416,1/8(0)
