Date,Location/Operator,Aircraft Type/Registration,Fatalities
18 Mar 1975,"Singa, SudanSudan Airways",de Havilland Canada DHC-6 Twin Otter 100ST-ADB,5/6(0)
18 Mar 1975,"Near Terney, RussiaAeroflot",Antonov An-2CCCP-05655,7/12(0)
20 Mar 1975,"Near Quilcene, WashingtonMilitary - U.S. Air Force",Lockheed C-141A (L.300)64-0641,16/16(0)
04 Apr 1975,"Saigon, South VietnamMilitary - U.S. Air Force",Lockheed C-5A Galaxy68-218,155/330(0)
13 May 1975,"Near Sakon Nakhon, ThailandMilitary - U.S. Air Force",Sikorsky CH-53C (helicopter)68-10933,23/23(0)
03 Jun 1975,"Manila, PhilippinesPhilippine Air Lines",BAC One-Eleven 524FFRP-C1184,1/64(0)
17 Jun 1975,"Pedro Alfonso, BrazilVarig",Hawker Siddeley HS-748-235 Srs. 2APP-VDN,1/15(3)
24 Jun 1975,"JFK Airport, New York, New YorkEastern Air Lines",Boeing B-727-225N8845E,113/124(0)
26 Jun 1975,"Toledo, OhioHamilton Aviation",Beechcraft E18SN791A,2/2(0)
10 Jul 1975,"Bogota, ColombiaAerovias Condor",Lockheed L-188AF ElectraHK-1976,2/4(0)
15 Jul 1975,"Near Batumi, Georgia, USSRAeroflot",Yakovlev YAK-40CCCP-87475,40/40(0)
31 Jul 1975,"Taipei, TaiwanFar Eastern Air Transport",Vickers 837 ViscountB-2029,27/75(0)
03 Aug 1975,"Near Immouzer, MoroccoAlia Royal Jordanian Airlines",Boeing B-707-321CJY-AEE,188/188(0)
03 Aug 1975,"Off Amapala, HondurasMilitary - Nicaraguan Air Force",Douglas DC-47412,20/20(0)
07 Aug 1975,"Denver, ColoradoContinental Airlines",Boeing B-727-224N88777,0/131(0)
09 Aug 1975,"Bagdarin, RussiaAeroflot",Ilyushin IL-14M	 CCCP-52056,11/11(0)
15 Aug 1975,"Krasnovodsk, USSRAeroflot",Yakovlev YAK-40CCCP-87323,23/38(0)
20 Aug 1975,"Near Damascus, SyriaCeskoslovenske Aerolinie",Ilyushin IL-62OK-DBF,126/128(0)
30 Aug 1975,"Near Gambell, AlaskaWien Air Alaska",Fairchild F-27BN4904,10/32(0)
01 Sep 1975,"Leipzig-Halle, East GermanyInterflug",Tupolev TU-134DM-SCD,27/34(0)
11 Sep 1975,"Near Bahar Dar, EthiopiaEthiopian Airlines",Douglas C-47-DLET-ABX,1/9(0)
24 Sep 1975,"Near Palembang, IndonesiaGaruda Indonesia Airlines",Fokker F-28 Fellowship 1000PK-GVC,25/61(1)
30 Sep 1975,"Off Beirut, LebanonMalev Hungarian Airlines",Tupolev TU-154BHA-LCI,60/60(0)
30 Sep 1975,"Barranquilla, ColombiaAVIANCA",Boeing 727-24CHK-1272,4/4(0)
22 Oct 1975,"Novgorod, RussiaAeroflot",Yakovlev Yak-40CCCP-87458,6/6(5)
23 Oct 1975,"Cairns Airport, Queensland, AustraliaConnair",de Havilland DH114 Heron 2EVH-CLS,11/11(0)
27 Oct 1975,"Tomonoco, BoliviaTAM (Bolivia)",Convair CV-440-12TAM-44,67/67(0)
30 Oct 1975,"Near Prague, CzechoslovakiaInex Adria Aviopromet",McDonnell Douglas DC-9-32YU-AJO,75/120(0)
03 Nov 1975,Gulf of MexicoPetroleum Helicopter,Bell 212N90057,9/9(0)
17 Nov 1975,"Near Sukhumi, Georgia, USSRAeroflot",Antonov AN-24CCCP-46467,38/38(0)
18 Nov 1975,"Caoba, GuatemalaAviateca",Douglas DC-3TG-AGA,15/22(0)
20 Nov 1975,"Kharkov, Ukraine, USSRAeroflot",Antonov AN-24CCCP-46349,19/50(0)
22 Nov 1975,"Sofia, BulgariaBalkan Bulgarian Airlines",Antonov AN-24BLZ-ANA,3/48(0)
25 Nov 1975,"Near Bir Lahfan, EgyptMilitary - Israel  Air Force",Lockheed C-130 Hercules011,20/20(0)
29 Nov 1975,"Hertfordshire, EnglandPrivate",Piper PA-23-250 AztecN6645Y,6/6(0)
26 Dec 1975,"Rollinsville, ColoradoStar Aviation",Mitsubishi MU-2BN133MA,9/9(0)
01 Jan 1976,"Near Al Qaysumah, Saudi ArabiaMiddle East Airlines",Boeing B-720B-023BOD-AFT,82/82(0)
03 Jan 1976,"Anchorage, AlaskaWinship Air",Lear Jet 24AN651LJ,6/6(0)
03 Jan 1976,"Moscow, RussiaAeroflot",Tupolev TU-124CCCP-45036,61/61(1)
08 Jan 1976,"Mactan Island, PhilippinesPhilippine Aerotransport",Britten-Norman BN-2A-21 IslanderRP-C2135,7/7(0)
18 Jan 1976,"Near San Borja, BoliviaFrigorifico Maniqui",Douglas C-47CP- 573,7/10(0)
20 Jan 1976,"Near Loja, EcuadorTAME",Hawker Siddeley HS-748-246FAE-683,34/42(0)
21 Jan 1976,"Near Shanghai, ChinaCAAC",Antonov AN-24B-492,40/40(0)
22 Jan 1976,"Chapeco, BrazilTransbrasil",Embraer 110C BandeirantePT-TBD,9/11(0)
04 Feb 1976,"Off Santa Maria, ColombiaLAC Colombia",Douglas DC-6AHK-1389,3/3(0)
08 Feb 1976,"Van Nuys, CaliforniaMercer Airlines",Douglas DC-6N901MA,3/6(0)
09 Feb 1976,"Irkutsk, RussiaAeroflot",Tupolev TU-104ACCCP-42327,24/124(0)
21 Feb 1976,"St. Croix, Virgin IslandsAntilles Air",Grumman G-21A seaplaneN4772C,5/11(0)
01 Mar 1976,"Sibiu, RomaniaTarom",Ilyushin II-14PYR-ILO,6/9(0)
02 Mar 1976,Southeastern BoliviaTAM (Bolivia),IAI Arava 201TAM-76,19/22(0)
06 Mar 1976,"Near Voronezh, RussiaAeroflot",Ilyushin IL-18ECCCP-75408,111/111(7)
07 Mar 1976,"Igiugig, AlaskaKodiak Western Alaska Airlines",Cessna 207N91142,4/4(0)
02 Apr 1976,"Near Puerto Asis, ColombiaSATENA",Douglas DC-3FAC-676,5/16(0)
05 Apr 1976,"Ketchikan, AlaskaAlaska Airlines",Boeing B-727-81N124AS,1/50(0)
14 Apr 1976,"Neuquen, ArgentinaYacimientos Petroliferos Fiscales",Hawker Siddeley HS-748 2LV-HHB,34/34(0)
23 Apr 1976,Gulf of MexicoPetroleum Helicopter,Bell 205 A-1 helicopterN8167J,12/12(0)
27 Apr 1976,"St. Thomas, Virgin IslandsAmerican Airlines",Boeing B-727-95N1963,37/88(0)
05 May 1976,"Camuigan, PhilippinesPhilippine Aerotransport",Britten-Norman BN-2A-21 IslanderRP-C2140,4/10(0)
09 May 1976,"Near Cuneca, SpainMilitary - Imperial Iranian Air Force",Boeing B-747-131F5-283,17/17(0)
15 May 1976,"Chernigov, Ukraine, USSRAeroflot",Antonov AN-24CCCP-46534,52/52(0)
23 May 1976,"Zamboanga, PhilipinesPhilippine Air Lines",BAC One-Eleven 527FKRP-C1161,14/87(3)
01 Jun 1976,"Nacias Nguema, Equatorial GuineaAeroflot",Tupolev TU-154ACCCP-85102,45/45(0)
04 Jun 1976,"Agana, GuamAir Manila",Lockheed 188A ElectraRP-C1061,45/45(1)
06 Jun 1976,"Off Kota Kinabalu, MalaysiaSabah Air",GAF Nomad N-22B9M-ATZ,11/11(0)
27 Jun 1976,"Entebbe, UgandaAir France",Airbus A300F-BVGG,7/258(0)
05 Jul 1976,"Daiku, BurmaMilitary - Burma Air Force",Douglas C-47?,17/17(0)
28 Jul 1976,"Bratislava, CzechoslovakiaCeskoslovenske Aerolinie",Ilyushin IL-18LOK-NAB,76/79(0)
02 Aug 1976,"Near Tehran, IranKorean Airlines",Boeing 707-373HL7412,5/5(0)
09 Aug 1976,"Moron AFB, Spain",	,"Moron AFB, Spain",	,"Moron AFB, SpainMilitary - Spanish Air Force",Douglas C-54ET4/11-352,12/32(0)
15 Aug 1976,"Andes Mountains, EcuadorSAETA",Vickers Viscount 785DHC-ARS,59/59(0)
28 Aug 1976,"Ho Chi Minh City, VietnamAir France",Sud Aviation SE 210 Caravelle IIIF-BSGZ,1/20(0)
28 Aug 1976,"Near Thorney, EnglandMilitary - U.S. Air Force",Lockheed C-141A (L.300)67-0006,18/18(0)
02 Sep 1976,"Hawk Inlet, AlaskaTemsco Helicopter - Air Taxi",Hughes 369HSN9172F,3/4(0)
03 Sep 1976,"Lajes, Azores, PortugalMilitary - Venezuelan Air Force",Lockheed C-130H7772,68/68(0)
09 Sep 1976,"Off Adler, RussiaAeroflot / Aeroflot",Antonov AN-24 / Yakovlev Yak-40CCCP46518/87772,64/64(0)
10 Sep 1976,"Near Gaj, Hrvatska, YugoslaviaInex Adria Aviopromet / British Airways",McDonnell Douglas DC-9-31 / Trident 3BYU-AJR/G-AWZT,176/176(0)
19 Sep 1976,"Karatepe Mountains, TurkeyTurkish Airlines (THY)",Boeing B-727-2F2TC-JBH,154/154(0)
26 Sep 1976,"Near Alpena, MichiganMilitary - U.S. Air Force",Boeing KC-135A61-0296,15/20(0)
04 Oct 1976,"Nairobi, KenyaEmirates Air Transport",Douglas DC-7CFTZ-ARC,4/4(0)
06 Oct 1976,"Off Bridgetown, BarbadosCubana de Aviacion",McDonnell Douglas DC-8-43CU-T1201,73/73(0)
13 Oct 1976,"Santa Cruz, BoliviaLloyd Aéreo Boliviano",Boeing B-707-31N730JP,3/3(113)
13 Oct 1976,"Near Bombay, IndiaIndian Airlines",Sud-Aviation Caravelle VI-NVT-DWN,95/95(0)
28 Oct 1976,"Near Petrolia, BrazilNordeste Linhas Aéreas",Embraer 110C BandeirantePT-TBA,2/7(0)
04 Nov 1976,"Banjarmasin, IndonesiaBali International Air Service",Fokker F-27 Friendship 100PK-KFR,29/38(0)
05 Nov 1976,Atlantic OceanInair Panama,Douglas DC-3HP-671,2/2(0)
23 Nov 1976,"Kozani, GreeceOlympic Airways",NAMC YS-11A-500SX-BBR,50/50(0)
28 Nov 1976,"Moscow, RussiaAeroflot",Tupolev TU-104BCCCP-42471,73/73(0)
12 Dec 1976,"Cape May, New JerseyAtlantic City Airlines",de Havilland Canada DHC-6 Twin Otter 300N101AC,3/10(0)
17 Dec 1976,"	Ust-Kut, RussiaAeroflot",Yakovlev 40CCCP-88208,7/7(0)
17 Dec 1976,"Kiev, USSRAeroflot",Antonov AN-24RVCCCP-46672,48/55(0)
18 Dec 1976,"Nnear Yuzhno-Sakhalinsk, RussiaAeroflot",	Ilyushin IL-14MCCCP-61752,8/8(0)
25 Dec 1976,"Near Bangkok, ThailandEgyptAir",Boeing B-707-366CSU-AXA,53/53(19)
31 Dec 1976,"Near Trujillo, PeruFaucett",Douglas C-54A-1-DOOB-R-247,19/19(0)
06 Jan 1977,"Near Palm Springs, CaliforniaJet Avia Charter",Gates Learjet 24BN12MK,4/4(0)
13 Jan 1977,"Anchorage, AlaskaJapan Air Lines",Douglas DC-8JA8054,5/5(0)
13 Jan 1977,"Near Alma Ata,  Kazakastan, USSRAeroflot",Tupolev TU-104ACCCP-42369,90/90(0)
14 Jan 1977,"Terrace, BC, CanadaNorthern Thunderbird Air Ltd.",de Havilland Canada DHC-6 Twin Otter 300C-GNTB,12/12(0)
15 Jan 1977,"Kalvesta, SwedenSkyline Sweden",Vickers Viscount 838SE-FOZ,22/22(0)
20 Jan 1977,?North Canada Air,Bristol 170 Freighter 31MC-FWAD,1/2(0)
11 Feb 1977,"Bratislava, SlovakiaCeskoslovenské Aerolinie",Avia 14TOK-OCA,4/5(0)
15 Feb 1977,"Mineralnye Vody, RussiaAeroflot",Ilyushin IL-18VCCCP-75520,77/98(0)
28 Feb 1977,"Near Saglouc, CanadaSurvair",Douglas DC-3C-FNAR,4/10(0)
01 Mar 1977,"Off Aden, YemenAlyemda",Douglas DC-37O-ABF,19/21(0)
03 Mar 1977,"Near Cascina, ItalyMilitary - Italian Air Force",Lockheed C-130HMM61995,44/44(0)
04 Mar 1977,"Niamey, NigerOverseas National Airways",McDonnell Douglas DC-8-63CFN8635,2/4(0)
27 Mar 1977,"Tenerife, Canary IslandsPan American World Airways / KLM",Boeing B-747-121 / Boeing B-747-206BN736PA/PH-BUF,583/644(0)
29 Mar 1977,"Bainaha Valley, IndonesiaMerpati Nusantara Airlines",de Havilland Canada DHC-6 Twin Otter 300PK-NUP,15/23(0)
30 Mar 1977,"Near Zhadanof, RussiaAeroflot",Yakovlev YAK-40CCCP-87738,8/27(0)
04 Apr 1977,"New Hope, GeorgiaSouthern Airways",McDonnell Douglas DC-9-31N1335U,62/85(8)
10 Apr 1977,"SW of Bogota, ColombiaEl Venado",Douglas DC-3-3AHK-556,35/35(0)
19 Apr 1977,"Tapa AFB, EstoniaMilitary - Soviet Air Force",Antonov An-24?,21/21(0)
27 Apr 1977,"Guatemala City, GuatemalaAviateca",Convair CV-440TG-ACA,28/28(0)
10 May 1977,"Near Jericho, JordanMilitary - Israel Air Force",Sikorsky CH-53D (helicopter)360,54/54(0)
13 May 1977,"Beiruit, LebanonLOT Polish Airlines",Antonov An-12BPSP-LZA,9/9(0)
14 May 1977,"Near Lusaka, ZambiaIAS Cargo",Boeing 707-321CG-BEBP,6/6(0)
16 May 1977,"New York, New YorkNew  York Helicopter",Sikorsky S61LN619PA,4/25(1)
27 May 1977,"Havana, CubaAeroflot",Ilyushin IL-62MCCCP-86614,67/69(0)
03 Jun 1977,"Natal, BrazilMilitary - Brazilian Air Force",Embraer C-95 BandeiranteFAB2157,18/18(0)
20 Jun 1977,"Salto-Nueva Hesperides, UruguayFuerza Aérea Uruguaya",Embraer 110C BandeiranteCX-BJE,12/15(0)
21 Jun 1977,Off Wake IslandMilitary - U.S. Navy,Lockheed EC-130Q156176,16/16(0)
06 Jul 1977,"Saint Louis, MissouriFleming International Airways",Lockheed L-188AF ElectraN280F,3/3(0)
08 Jul 1977,"Off Kirovograd, UkraineAeroflot",Antonov AN-24CCCP-46847,6/7(0)
14 Jul 1977,"Near Cuangar, AngolaMilitary - Angolan Air Force",Antonov AN-26?,30/30(0)
20 Jul 1977,"	Vitim, RussiaAeroflot",Ilyushin IL-14MCCCP-52096,40/40(0)
20 Jul 1977,"Jima, EthiopiaEthiopian Airlines",Douglas DC-3ET-ABF,5/5(0)
24 Jul 1977,"Near Puerto Montt, ChileMilitary - Chilean Air Force",Douglas DC-6BFAC-989,38/82(0)
25 Jul 1977,"Near Yoro, HondurasMilitary - Honduran Air Force",Douglas C-47FAH-301,25/40(0)
01 Aug 1977,"Encino, CaliforniaPrivate KNBC Los Angeles",Bell 206B JetRangerN4TV,2/2(0)
20 Aug 1977,"San Jose, Costa RicaMonarch Aviation",Convair CV-880N8817E,3/3(0)
25 Aug 1977,"Kona, HawaiiIsland Airways",Shorts SC-7 Skyvan 3-200N4917,2/2(0)
02 Sep 1977,Off Hong KongTransmeridian Air Cargo,Canadair CL-44D4-2G-ATZH,4/4(0)
04 Sep 1977,"Near Cuenca, EcuadorServicios Aereos Nacionales Airways",Vickers Viscount 764DHC-BCL,33/33(0)
06 Sep 1977,"Mt. Iliamna, AlaskaAlaska Aeronautical Industries",de Havilland Canada DHC-6 Twin Otter 200N563MA,13/13(0)
08 Sep 1977,"Mt. Loi Hsam Hsao, BurmaBurma Airways",de Havilland Canada DHC-6 Twin Otter 300XY-AEH,19/19(0)
12 Sep 1977,"Yakutat, AlaskaSafe Air Cargo",Douglas DC-7BFN6314J,4/4(0)
14 Sep 1977,"Near Albuquerque, New MexicoMilitary - U.S. Air Force",Boeing - EC-135K62-3536,20/20(0)
22 Sep 1977,"Bucharest, RomaniaMalev Hungarian Airlines",Tupolev TU-134HA-LBC,29/53(0)
27 Sep 1977,"Kuala Lumpur,  MalaysiaJapan Air Lines",McDonnell Douglas DC-8-62HJA-8051,34/79(0)
20 Oct 1977,"Near Gillsburg, MississippiL & J Company",Convair CV-300N55VM,6/26(0)
21 Oct 1977,"Mindoro, PhilippinesMilitary - U.S. Marine Corps",Sikorksky CH-53 (helicopter)157139,24/37(0)
03 Nov 1977,"San Cristobal de las Casas, MexicoServicios Aereos Martinez Leon",Britten-Norman BN-2A-8 TrislanderXA-FUA,13/13(0)
19 Nov 1977,"Rome, ItalyEthiopian Airlines",Boeing 707-360CET-ACD,5/5(0)
19 Nov 1977,"Near Funchal, Island of Madeira, PortugalTAP (Air Portugal)",Boeing B-727-282CS-TBR,131/164(0)
21 Nov 1977,"Near Bariloche, ArgentinaAustral Lineas Aeras (Argentina)",BAC One-Eleven 420ELLV-JGY,46/79(0)
26 Nov 1977,"Near Beziers, FranceMilitary - French Air Force",Nord 2501 Noratlas182,32/32(0)
02 Dec 1977,"Near Al Bayda, LebanonBalkan Bulgarian Airlines",Tupolev TU-154BLZ-BTN,59/165(0)
04 Dec 1977,"Straits of Johore, near Kampung Ladang, MalaysiaMalaysia Airlines",Boeing B-737-2H69M-MBD,100/100(0)
08 Dec 1977,"Intracostal City, LouisianaPetroleum Helicopter",SNIAS SA330JN4730S,17/19(0)
09 Dec 1977,"Tarko-Saley, USSRAeroflot",Antonov AN-24CCCP-47695,17/23(0)
11 Dec 1977,"Hierro, Canary IslandsMilitary - U.S. Navy",Lockheed P-3B Orion153428,13/13(0)
13 Dec 1977,"Evansville, IndianaNational Jet Services Inc.,  (Air Indiana)",Douglas DC-3N51071,29/29(0)
18 Dec 1977,"Near Salt Lake City, UtahUnited Air Lines",Douglas DC-8-54FN8047U,3/3(0)
18 Dec 1977,"Off Madeira, PortugalSATA",Aerospatiale Caravelle 10RHB-ICK,36/57(0)
19 Dec 1977,"Vieques, Puerto RicoVieques Air Link",Britten-Norman BN-2A IslanderN862JA,5/10(0)
24 Dec 1977,"Willemstad, Curacao, Netherlands AntillesValley Air Service",Piper PA-31-350 NavajoN9164Y,10/10(0)
29 Dec 1977,"Cuenca, EcuadorServicios Aereos Nacionales",Vickers Viscount 764 DHC-BEM,24/24(0)
01 Jan 1978,"Off Bandra, Maharashtra, IndiaAir India",Boeing B-747-237BVT-EBD,213/213(0)
27 Jan 1978,"Near San Vincente, ColombiaSADELCA",Douglas DC-3HK-1351X,14/14(0)
31 Jan 1978,"Eirunepe, BrazilTABA",Embraer 110P BandeirantePT-GKW,2/14(0)
10 Feb 1978,"Near Artigas, UruguayUruguayan Air Force",Douglas C-47A-DLT511,44/44(0)
10 Feb 1978,"Richland, WashingtonColumbia Pacific Airlines",Beechcraft 99N199EA,17/17(0)
11 Feb 1978,"Cranbrook, British Columbia, CanadaPacific Western Airlines",Boeing B-737-275C-FPWC,42/49(0)
28 Feb 1978,"Solvang, CaliforniaSecurity Air",Aero Commander 500AN6143X,7/7(0)
01 Mar 1978,"LAX, Los Angeles, CaliforniaContinental Airlines",McDonnell Douglas DC-10-10N68045,2/200(0)
02 Mar 1978,"Kano, NigeriaNigeria Airways",Fokker F-28 Fellowship 1000 / MiG-215N-ANA / ?,18/18(0)
03 Mar 1978,"Off Caracas, VenezuelaLAV - Linea Aeropostal Venezolana",British Aerospace 748 2AYV-45C,47/47(0)
16 Mar 1978,"Vrastsa, BulgariaBalkan Bulgarian Airlines",Tupolev TU-134LZ-TUB,73/73(0)
22 Mar 1978,"Near Riverside, CaliforniaLake Havasu Air",Cessna T207AN7354U,6/6(0)
25 Mar 1978,"Okaraba, BurmaBurma Airways",Fokker F-27 Friendship 200XY-ADK,48/48(0)
04 Apr 1978,"Off Galveston, TexasAir Logistics",Bell 212N140AL,3/6(0)
05 Apr 1978,"St. Thomas, Virgin IslandsAntilles Air",Grumman G-21N877A,2/9(0)
20 Apr 1978,"Near Murmansk, RussiaKorean Airlines",Boeing B-707-321BHL-7429,2/109(0)
29 Apr 1978,"Bogota, ColombiaLAC Colombia",Douglas C-118AHK-1705,8/12(0)
08 May 1978,"Pensacola, FloridaNational Airlines",Boeing B-727-235N4744,3/58(0)
19 May 1978,"Pochinok, RussiaAeroflot",Tupolev TU-154BCCCP-85169,4/134(0)
23 Jun 1978,"Saint John's, NewfoundlandGander Aviation",Beech Queen Air A80C-GGAL,10/10(0)
26 Jun 1978,"Off Bergen, NorwayHelikopter Service",Sikorsky S-61NLN-OQS,18/18(0)
26 Jun 1978,"Toronto, CanadaAir Canada",McDonnell Douglas DC-9-32C-FTLV,2/107(0)
14 Aug 1978,"Sogamoso, BoliviaAeropeca",Curtiss C-46HK-1350,18/18(0)
26 Aug 1978,"Papun, BurmaBurma Airways",de Havilland Canada DHC-6 Twin Otter 300XY-AEI,14/14(0)
30 Aug 1978,"Las Vegas, NevadaLas Vegas Airlines",Piper PA-31-350 ChieftainN44LV,10/10(0)
03 Sep 1978,"Conakry, GuineaAir Guinee",Ilyushin IL-183X-GAX,15/17(0)
03 Sep 1978,"Coal Harbour, BC, CanadaAirWest Airlines",de havilland Canada Twin Otter 200C-FAIV,11/13(0)
03 Sep 1978,"Near Kariba, Rhodesia (Zimbabwe)Air Rhodesia",Vickers Viscount 782DVP-WAS,38/56(0)
09 Sep 1978,"Wrangell, AlaskaTemesco Helicopter - Air Taxi",Soloy 12EJ3N5384V,3/3(0)
09 Sep 1978,"Near Mexico City, MexicoLineas Areas del Centro",de Havilland Canada DHC-6 Twin Otter 100XA-BOP,18/21(0)
13 Sep 1978,"Whittier, AKAlaska Travel",de Havilland DHC-2N37741,6/6(0)
14 Sep 1978,"Paranaque, PhilippinesPhilippine Air Force",Fokker F-27 Friendship 200PH-FKY,21/28(12)
25 Sep 1978,"San Diego, CaliforniaPacific Southwest Airlines / Private",Boeing B-727-214 / Cessna 172N533PS/N7711G,137/137(7)
03 Oct 1978,"Near Kuopio, FinlandMilitary - Finish Air Force",Douglas C-47A-1-DKDO-10,15/15(0)
03 Oct 1978,"Near Mandalay, MyanmarBurma Airways",Fokker F-27 Friendship 600XY-ADY,2/44(0)
06 Oct 1978,"Santiago de Chile, ChileMilitary - US Navy",Douglas R6D-1 (DC-6)131618,18/18(?)
07 Oct 1978,"Sverdlovsk, RussiaAeroflot",Yakovlev YAK-40CCCP-87437,38/38(0)
08 Oct 1978,"Kenai, AlaskaEra Helicopter - Air Taxi",Bell 205-1N2215W,2/7(0)
22 Oct 1978,"Off Bellona, Solomon IslandsSolomon Islands Airlines",Britten Norman BN-2A TrislanderH4-AAC,11/11(0)
23 Oct 1978,"Gulf of Sivash, USSRAeroflot",Antonov AN-24BCCCP-46327,26/26(0)
05 Nov 1978,"Off Alexandria, EgyptNile Delta Air Services",Douglas DC-3SU-AZM,18/18(0)
15 Nov 1978,"Near Katunayake, Sri LankaLoftleidir Icelandic Airlines",McDonnell Douglas DC-8-Super 63CFTF-FLA,183/262(0)
18 Nov 1978,"Off Marie Galante Island, West IndiesAir Guadeloupe",de Havilland Canada DHC-6 Twin Otter 300F-OGHD,15/20(0)
19 Nov 1978,"Near Leh, IndiaMilitary - Indian Air Force",Antonov An-12?,77/77(1)
21 Nov 1978,"Near Rubio, VenezuelaAereo el Venado",Douglas C-47AHK-1393,27/27(0)
25 Nov 1978,"Hydaburg, AlaskaTyee Airlines",de Havilland DHC-2N37906,5/5(0)
04 Dec 1978,"Near Steamboat Springs, ColoadoRocky Mountain Airways",de Havilland Canada DHC-6 Twin Otter 300N25RM,2/22(0)
16 Dec 1978,"Selvapiana, ItalyAir 70",Cessna 421 Golden EagleI-ASON,10/10(0)
17 Dec 1978,"Hyderabad, IndiaIndian Airlines",Boeing B-737-2A8VT-EAL,1/132(3)
23 Dec 1978,"Off Cinisi, Sicily, ItalyAlitalia",McDonnell Douglas DC-9-32I-DIKQ,108/129(0)
28 Dec 1978,"Portland, OregonUnited Air Lines",McDonnell Douglas DC-8-61N8082U,10/189(0)
15 Jan 1979,"Minsk, RussiaAeroflot",Antonov AN-24NCCCP46807,13/13(0)
24 Jan 1979,"Bechar, AlgeriaAir Algerie",Nord 262A-447T-VSU,14/23(0)
27 Jan 1979,"Rodez, FranceAir Rouergue",Fokker F-27 Friendship 500F-BYAH,5/6(0)
30 Jan 1979,"125 miles ENE of Tokyo, JapanVarig",Boeing B-707-326CPP-VLU,6/6(0)
08 Feb 1979,"Near Agudos, BrazilTAM Lineas Aéreas Regional",Embraer 110C BandeirantePP-SBB,18/18(0)
12 Feb 1979,"Near Kariba, RhodesiaAir Rhodesia",Vickers Viscount 748DVP-YND,59/59(0)
12 Feb 1979,"Clarksburg, West VirginiaAllegheny Airlines",Nord 262N29824,2/25(0)
17 Feb 1979,"Manakau Harbor, New ZealandAir New Zealand",Fokker F-27 Friendship 500ZK-NFC,2/4(0)
19 Feb 1979,"Barentu, EthiopiaEthiopian Airlines",Douglas DC-3ET-AFW,5/5(0)
01 Mar 1979,"Gulfport, MississippiUniversal Airways",Beech BE-70N777AE,8/8(0)
10 Mar 1979,"Off Marina del Rey, CaliforniaSwift Aire Lines Inc.",Aerospatiale Nord 262A-33N418SA,3/7(0)
14 Mar 1979,"Bejing, ChinaCAAC",Hawker Siddeley Trident 2EB-274,12/12(32)
14 Mar 1979,"Near Doha Airport, QatarAlia Royal Jordanian Airlines",Boeing B-727-2D3JY-ADU,45/64(0)
17 Mar 1979,"Near Moscow, RussiaAeroflot",Tupolev TU-104BCCCP-42444,58/119(0)
26 Mar 1979,"Luanda, AngolaInterflug",Ilyushin IL-18DDM-STL,10/10(0)
29 Mar 1979,"Ste. Foy, PQ, CanadaQuebecair",Fairchild F-27CF-QBL,17/24(0)
14 Apr 1979,"Off Avalon, CaliforniaCatalina Airlines",Grumman G-21 GooseN11CS,1/11(0)
18 Apr 1979,"Newark, New JerseyNew York Airways",Sikorsky S61-LN618PA,3/18(0)
23 Apr 1979,"Near Cuenca, EcuadorSAETA",Vickers Viscount 785DHC-AVP,57/57(0)
25 May 1979,"Bullen Point, AlaskaSea Airmotive",de Havilland Canada DHC-4A CaribouN581PA,3/3(0)
25 May 1979,"Chicago O'Hare, IllinoisAmerican Airlines",McDonnell Douglas DC-10-10N110AA,271/271(2)
27 May 1979,"Off Dakar, SenegalMilitary - Mauritanian Air Force",de Havilland Canada DHC-5D Buffalo5T-MAX,12/12(0)
30 May 1979,"Rockland, MaineDowneast Airlines",de Havilland DHC-6-200N68DE,17/18(0)
07 Jun 1979,"Near Leh, IndiaMilitary - Indian Air Force",Hindustan Aeronautics 748-2MH2178,27/27(0)
17 Jun 1979,"Hyannis, MassachusettsAir New England",de Havilland Canada DHC-6 Twin Otter 300N383EX,1/10(0)
11 Jul 1979,"Near Medan Airfield, IndonesiaGaruda Indonesia Airlines",Fokker F-28 Fellowship 1000PK-GVE,61/61(0)
12 Jul 1979,"Bua, FijiFiji Air Services",Britten Norman BN-2A TrislanderDQ-FBO,9/9(0)
12 Jul 1979,"Anchorage, AlaskaSoldotna Air Services",Cessna 402BN402TH,7/7(0)
23 Jul 1979,"Beirut, LebanonTrans Mediterranean Airways",Boeing 707-327COD-AFX,6/6(0)
24 Jul 1979,"St. Croix, Virgin IslandsPrinair",de Havilland DH-114 HeronN575PR,8/21(0)
31 Jul 1979,"Off Sumburgh, Shetlands, ScotlandDan Air Services",Hawker Siddeley HS-748-1G-BEKF,17/47(0)
02 Aug 1979,"Canton, OhioPrivate",Cessna  501 CitationN15NY,1/3(0)
03 Aug 1979,"Leningrad, USSRAeroflot",LET 410M turbojetCCCP-67206,14/14(0)
04 Aug 1979,"Near Panvel, IndiaIndian Airlines",Hindustan Aeronautics 748 2-224VT-DXJ,45/45(0)
11 Aug 1979,"Near Volgograd, RussiaAeroflot / Aeroflot",Tupolev TU-134A / Tupolev Tu-134A65735/65816,178/178(0)
24 Aug 1979,"Near Enisseysk, USSRAeroflot",Antonov AN-12CCCP-12963,11/16(0)
29 Aug 1979,"Near Kirsanov, RussiaAeroflot",Tupolev TU-124CCCP-45038,63/63(0)
03 Sep 1979,"Andema, RussiaAeroflot",Antonov AN-24CCCP-46269,40/44(0)
11 Sep 1979,"Off Taipei, TaiwanChina Airlines (Taiwan)",Boeing 707-324CB-1834,6/6(0)
